,ConvertedCompYearly
72,7322.0
374,30074.0
379,91295.0
385,53703.0
389,110000.0
392,161044.0
395,121018.0
398,195000.0
403,44586.0
409,57999.0
414,184712.0
415,79481.0
416,170000.0
417,29000.0
423,66592.0
424,85925.0
425,124840.0
426,50000.0
428,230000.0
431,85000.0
432,160000.0
440,110000.0
442,190000.0
443,161783.0
444,146496.0
445,12773.0
446,69814.0
447,115000.0
451,64570.0
455,101896.0
458,52122.0
459,54777.0
461,254425.0
464,27926.0
465,107406.0
467,37297.0
468,85925.0
469,140000.0
472,213840.0
476,4833.0
477,200000.0
485,93000.0
488,67227.0
489,144998.0
491,59073.0
492,119943.0
496,100000.0
497,14142.0
498,102000.0
500,123654.0
505,42962.0
510,170000.0
512,42962.0
515,136000.0
516,48333.0
517,3000.0
520,167125.0
521,53703.0
524,46185.0
527,79218.0
528,175000.0
530,85925.0
534,31200.0
537,55851.0
538,130000.0
540,90221.0
542,3618.0
543,150000.0
548,13160.0
549,160000.0
551,2411.0
552,118147.0
553,50340.0
559,49681.0
560,100000.0
564,16532.0
565,100000.0
566,220000.0
568,220000.0
569,10630.0
570,250000.0
571,218079.0
572,140000.0
575,180000.0
576,42962.0
578,75159.0
579,150000.0
581,104458.0
583,65000.0
585,100000.0
586,47259.0
587,150000.0
589,150000.0
591,96666.0
592,150000.0
595,1740.0
596,152865.0
598,3021.0
601,29000.0
603,67516.0
604,64444.0
606,185000.0
607,88019.0
608,55000.0
610,85925.0
612,91295.0
613,5982.0
615,67666.0
616,178343.0
617,63370.0
618,85350.0
620,120000.0
622,97740.0
624,205000.0
628,93980.0
629,100000.0
631,128129.0
632,44037.0
633,101000.0
640,161109.0
641,89147.0
649,90221.0
650,86999.0
652,190000.0
654,31847.0
655,37592.0
656,53703.0
658,150369.0
659,10955.0
660,53703.0
662,161109.0
663,32222.0
665,47854.0
669,118000.0
670,150000.0
671,87250.0
675,55851.0
677,42962.0
679,56925.0
681,91295.0
682,56022.0
685,124000.0
687,10070.0
689,91295.0
690,120000.0
691,44037.0
692,85925.0
694,6230.0
695,43068.0
