HighIncomeDev,AgeOrdinals,OrgSizeOrdinals,EdLevelOrdinals,RemoteOrdinals,YearsCodePro,PurchaseInfluence,"Employed, full-time","Employed, part-time","Independent contractor, freelancer, or self-employed","Student, full-time","Student, part-time",Not employed
False,21,299.5,1,1,1,1,1,1,1,1,0,0
True,39,59.5,6,2,6,2,1,0,0,0,0,0
False,39,1.0,6,2,17,2,0,0,1,0,0,0
True,29,14.5,3,2,7,1,1,0,0,0,1,0
True,39,2999.5,7,1,18,0,1,0,0,0,0,0
True,49,59.5,6,2,25,2,1,0,0,0,0,0
True,49,2999.5,3,2,30,0,1,0,0,0,0,0
False,39,59.5,3,2,20,0,1,0,0,0,0,0
True,49,2999.5,5,2,27,0,1,0,0,0,0,0
True,39,59.5,6,2,16,2,1,0,1,0,0,0
True,39,299.5,6,2,17,1,1,0,1,0,0,0
False,29,14.5,6,0,1,1,1,0,0,0,0,0
True,29,299.5,3,2,4,1,0,0,1,0,0,0
True,59,59.5,6,2,30,2,1,0,0,0,0,0
True,39,299.5,5,2,15,1,1,0,0,0,0,0
False,21,2999.5,5,2,4,1,1,0,0,1,0,0
True,29,299.5,5,2,11,0,1,0,0,0,0,0
True,39,59.5,5,0,23,2,1,0,0,0,0,0
True,39,14.5,1,2,18,2,1,0,0,0,0,0
True,29,59.5,5,2,10,2,1,0,0,0,1,0
False,21,59.5,1,0,1,0,1,0,0,0,0,0
True,29,14.5,6,1,10,1,1,0,0,0,0,0
True,49,299.5,4,0,10,0,1,0,0,0,0,0
False,29,299.5,3,2,9,2,1,0,1,0,0,0
True,29,1.0,5,1,7,2,0,0,1,0,0,0
False,39,10000.0,6,1,11,1,1,0,0,0,0,0
False,29,5.5,6,0,8,0,1,0,0,0,0,0
True,49,10000.0,6,1,24,1,1,0,0,0,0,0
False,39,299.5,6,0,15,0,0,1,0,0,1,0
False,29,299.5,3,2,12,0,1,0,0,0,0,0
True,39,299.5,6,1,11,0,1,0,0,0,0,0
True,49,10000.0,5,2,26,1,1,0,0,0,0,0
True,29,14.5,6,0,9,0,1,0,0,0,0,0
True,59,20.0,6,2,40,0,1,0,0,0,0,0
True,29,10000.0,4,2,4,0,1,0,0,0,0,0
True,39,2999.5,6,2,14,2,1,0,0,0,0,0
True,29,10000.0,5,1,10,1,1,0,0,0,0,0
False,39,5.5,3,2,16,2,0,0,1,0,0,0
True,39,2999.5,5,1,17,1,1,0,0,0,0,0
True,39,14.5,7,1,9,2,1,0,0,0,0,0
True,59,2999.5,5,2,22,2,1,0,0,0,0,0
False,39,1.0,3,2,20,0,0,0,1,0,0,0
True,39,299.5,5,2,11,1,1,0,0,0,0,0
False,29,14.5,3,2,5,0,0,1,0,0,1,0
False,59,749.5,6,1,28,1,1,0,0,0,0,0
True,59,1.0,5,1,44,2,1,0,0,0,0,0
False,65,1.0,6,1,42,2,0,0,0,0,0,1
True,29,10000.0,7,1,13,2,1,0,0,0,0,0
True,49,59.5,5,0,20,1,1,0,0,0,0,0
True,39,10000.0,6,1,16,1,1,0,0,0,0,0
False,39,299.5,5,2,10,0,1,0,0,0,0,0
False,29,299.5,2,2,11,1,0,1,1,0,0,0
True,49,59.5,1,2,25,1,1,0,0,0,0,0
True,29,59.5,6,1,10,1,1,0,0,0,0,0
False,21,59.5,6,0,0,0,1,0,0,0,0,0
False,29,5.5,6,2,4,2,1,0,0,0,0,0
False,39,14.5,5,2,13,1,1,0,0,0,0,0
True,39,1.0,6,2,7,1,0,0,1,0,0,0
False,39,10000.0,5,2,17,1,1,0,0,0,0,0
False,29,5.5,7,1,3,2,1,0,0,0,0,0
True,29,5.5,5,1,9,2,1,0,0,0,0,0
False,39,2999.5,5,1,10,2,0,1,1,0,0,0
True,39,749.5,4,2,15,0,1,0,0,0,0,0
True,39,299.5,6,2,22,1,1,0,0,0,0,0
True,39,10000.0,5,2,13,0,1,0,0,0,0,0
False,29,59.5,5,2,11,0,1,0,1,0,0,0
True,39,2999.5,5,2,22,1,1,0,0,0,0,0
True,29,7499.5,3,2,12,1,1,0,0,0,0,0
True,59,14.5,5,2,35,2,1,0,0,0,0,0
True,39,14.5,6,1,20,1,0,0,0,0,0,1
False,39,1.0,5,2,26,2,0,0,1,0,0,0
