HighIncomeDev,AgeOrdinals,OrgSizeOrdinals,EdLevelOrdinals,RemoteOrdinals,YearsCodePro,PurchaseInfluence,"Employed, full-time","Employed, part-time","Independent contractor, freelancer, or self-employed","Student, full-time","Student, part-time",Not employed,DevType,Country,Industry
False,21,299.5,1,1,1,1,1,1,1,1,0,0,5,109,13
True,39,59.5,6,2,6,2,1,0,0,0,0,0,5,145,1
False,39,1.0,6,2,17,2,0,0,1,0,0,0,13,50,13
True,29,14.5,3,2,7,1,1,0,0,0,1,0,32,152,14
True,39,2999.5,7,1,18,0,1,0,0,0,0,0,22,150,12
True,49,59.5,6,2,25,2,1,0,0,0,0,0,25,150,13
True,49,2999.5,3,2,30,0,1,0,0,0,0,0,17,152,5
False,39,59.5,3,2,20,0,1,0,0,0,0,0,17,22,13
True,49,2999.5,5,2,27,0,1,0,0,0,0,0,13,150,13
True,39,59.5,6,2,16,2,1,0,1,0,0,0,17,54,13
True,39,299.5,6,2,17,1,1,0,1,0,0,0,13,20,11
False,29,14.5,6,0,1,1,1,0,0,0,0,0,0,52,6
True,29,299.5,3,2,4,1,0,0,1,0,0,0,17,69,5
True,59,59.5,6,2,30,2,1,0,0,0,0,0,17,52,11
True,39,299.5,5,2,15,1,1,0,0,0,0,0,16,150,13
False,21,2999.5,5,2,4,1,1,0,0,1,0,0,15,148,13
True,29,299.5,5,2,11,0,1,0,0,0,0,0,21,152,13
True,39,59.5,5,0,23,2,1,0,0,0,0,0,17,152,12
True,39,14.5,1,2,18,2,1,0,0,0,0,0,17,152,13
True,29,59.5,5,2,10,2,1,0,0,0,1,0,19,150,13
False,21,59.5,1,0,1,0,1,0,0,0,0,0,17,122,13
True,29,14.5,6,1,10,1,1,0,0,0,0,0,17,52,13
True,49,299.5,4,0,10,0,1,0,0,0,0,0,17,152,11
False,29,299.5,3,2,9,2,1,0,1,0,0,0,17,132,13
True,29,1.0,5,1,7,2,0,0,1,0,0,0,13,50,13
False,39,10000.0,6,1,11,1,1,0,0,0,0,0,13,37,13
False,29,5.5,6,0,8,0,1,0,0,0,0,0,13,50,13
True,49,10000.0,6,1,24,1,1,0,0,0,0,0,18,27,13
False,39,299.5,6,0,15,0,0,1,0,0,1,0,15,52,13
False,29,299.5,3,2,12,0,1,0,0,0,0,0,16,20,9
True,39,299.5,6,1,11,0,1,0,0,0,0,0,17,52,11
True,49,10000.0,5,2,26,1,1,0,0,0,0,0,12,152,12
True,29,14.5,6,0,9,0,1,0,0,0,0,0,17,64,13
True,59,20.0,6,2,40,0,1,0,0,0,0,0,13,152,13
True,29,10000.0,4,2,4,0,1,0,0,0,0,0,17,152,8
True,39,2999.5,6,2,14,2,1,0,0,0,0,0,16,122,8
True,29,10000.0,5,1,10,1,1,0,0,0,0,0,16,52,14
False,39,5.5,3,2,16,2,0,0,1,0,0,0,17,50,12
