HighIncomeDev,AgeOrdinals,OrgSizeOrdinals,EdLevelOrdinals,RemoteOrdinals,YearsCodePro,PurchaseInfluence,"Employed, full-time","Employed, part-time","Independent contractor, freelancer, or self-employed","Student, full-time","Student, part-time",Not employed,DevType,Country,Industry
False,21,299.5,1,1,1,1,1,1,1,1,0,0,343,117,12087
True,39,59.5,6,2,6,2,1,0,0,0,0,0,343,171,401
False,39,1.0,6,2,17,2,0,0,1,0,0,0,4461,838,12087
True,29,14.5,3,2,7,1,1,0,0,0,1,0,83,3865,460
True,39,2999.5,7,1,18,0,1,0,0,0,0,0,439,1239,652
True,49,59.5,6,2,25,2,1,0,0,0,0,0,423,1239,12087
True,49,2999.5,3,2,30,0,1,0,0,0,0,0,7935,3865,684
False,39,59.5,3,2,20,0,1,0,0,0,0,0,7935,100,12087
True,49,2999.5,5,2,27,0,1,0,0,0,0,0,4461,1239,12087
True,39,59.5,6,2,16,2,1,0,1,0,0,0,7935,155,12087
True,39,299.5,6,2,17,1,1,0,1,0,0,0,4461,620,1531
False,29,14.5,6,0,1,1,1,0,0,0,0,0,155,1798,341
True,29,299.5,3,2,4,1,0,0,1,0,0,0,7935,491,684
True,59,59.5,6,2,30,2,1,0,0,0,0,0,7935,1798,1531
True,39,299.5,5,2,15,1,1,0,0,0,0,0,1304,1239,12087
False,21,2999.5,5,2,4,1,1,0,0,1,0,0,709,1160,12087
True,29,299.5,5,2,11,0,1,0,0,0,0,0,92,3865,12087
True,39,59.5,5,0,23,2,1,0,0,0,0,0,7935,3865,652
True,39,14.5,1,2,18,2,1,0,0,0,0,0,7935,3865,12087
True,29,59.5,5,2,10,2,1,0,0,0,1,0,753,1239,12087
False,21,59.5,1,0,1,0,1,0,0,0,0,0,7935,219,12087
True,29,14.5,6,1,10,1,1,0,0,0,0,0,7935,1798,12087
True,49,299.5,4,0,10,0,1,0,0,0,0,0,7935,3865,1531
False,29,299.5,3,2,9,2,1,0,1,0,0,0,7935,152,12087
True,29,1.0,5,1,7,2,0,0,1,0,0,0,4461,838,12087
False,39,10000.0,6,1,11,1,1,0,0,0,0,0,4461,253,12087
False,29,5.5,6,0,8,0,1,0,0,0,0,0,4461,838,12087
True,49,10000.0,6,1,24,1,1,0,0,0,0,0,182,786,12087
False,39,299.5,6,0,15,0,0,1,0,0,1,0,709,1798,12087
False,29,299.5,3,2,12,0,1,0,0,0,0,0,1304,620,592
True,39,299.5,6,1,11,0,1,0,0,0,0,0,7935,1798,1531
True,49,10000.0,5,2,26,1,1,0,0,0,0,0,155,3865,652
True,29,14.5,6,0,9,0,1,0,0,0,0,0,7935,94,12087
True,59,20.0,6,2,40,0,1,0,0,0,0,0,4461,3865,12087
True,29,10000.0,4,2,4,0,1,0,0,0,0,0,7935,3865,799
True,39,2999.5,6,2,14,2,1,0,0,0,0,0,1304,219,799
True,29,10000.0,5,1,10,1,1,0,0,0,0,0,1304,1798,460
False,39,5.5,3,2,16,2,0,0,1,0,0,0,7935,838,652
True,39,2999.5,5,1,17,1,1,0,0,0,0,0,7935,786,684
True,39,14.5,7,1,9,2,1,0,0,0,0,0,155,3865,1531
